Datum;Uhrzeit;Deutschland/Luxemburg[Euro/MWh];Dänemark 1[Euro/MWh];Dänemark 2[Euro/MWh];Frankreich[Euro/MWh];Italien (Nord)[Euro/MWh];Niederlande[Euro/MWh];Polen[Euro/MWh];Schweden 4[Euro/MWh];Schweiz[Euro/MWh];Slowenien[Euro/MWh];Tschechien[Euro/MWh];Ungarn[Euro/MWh];Österreich[Euro/MWh];Deutschland/Österreich/Luxemburg[Euro/MWh]
19.06.2019;23:00;34,99;34,99;34,99;34,99;-;34,99;-;28,86;35,79;38,1;36,53;40,09;34,99;-
20.06.2019;00:00;30,8;30,75;30,75;30,8;-;30,8;-;28,95;34,15;30,8;33,13;35,08;30,8;-
20.06.2019;01:00;30,23;30,23;30,23;29,5;-;31,23;-;28,43;31,98;30,23;31,54;31,54;30,23;-
20.06.2019;02:00;29,87;29,87;29,87;29,55;-;30,08;-;27,34;30,63;29,87;30,21;30,21;29,87;-
20.06.2019;03:00;28,71;28,71;28,71;27,07;-;30;-;25,07;30,26;28,71;29,01;29,01;28,71;-
20.06.2019;04:00;28,54;28,54;28,54;21,04;-;31,7;-;18,7;29,98;28,54;28,03;28,03;28,54;-
20.06.2019;05:00;29,11;29,11;29,11;27,73;-;30,03;-;23,05;30,2;29,11;28;30,06;29,11;-
20.06.2019;06:00;30,93;30,93;30,93;29,42;-;31,98;-;30,71;32,76;30,93;31,01;36,7;30,93;-
20.06.2019;07:00;36,09;36,09;36,09;36,09;-;36,09;-;35,23;37,68;36,09;37,22;46,35;36,09;-
20.06.2019;08:00;39,68;39,68;39,68;40,39;-;41,76;-;39,68;40,02;39,62;39,1;50,58;39,62;-
20.06.2019;09:00;36,91;36,91;36,91;39,35;-;50,07;-;36,91;38,08;38,1;38,7;53,44;36,91;-
20.06.2019;10:00;35,69;35,69;35,69;38,95;-;44,9;-;35,69;37,92;58,86;37,8;55,62;35,69;-
20.06.2019;11:00;36,98;36,98;36,98;37,81;-;39,29;-;36,98;37,5;57,86;37,8;57,43;36,98;-
20.06.2019;12:00;36,08;36,08;36,08;36,08;-;36,08;-;35,21;35,39;54,53;34,8;62,52;36,08;-
20.06.2019;13:00;34,09;34,09;34,09;34,09;-;34,09;-;33,27;34,66;54,02;34,1;61,1;34,09;-
20.06.2019;14:00;33,17;33,17;33,17;33,17;-;33,17;-;32,37;34,22;55,75;33,7;58,36;33,17;-
20.06.2019;15:00;33,93;33,93;33,93;33,93;-;33,93;-;33,11;33,77;57,71;33,82;59,58;33,93;-
20.06.2019;16:00;33,54;33,54;33,54;33,54;-;33,54;-;32,73;33,64;58,91;31,75;60,58;33,54;-
20.06.2019;17:00;36,71;36,71;36,71;36,71;-;36,71;-;35,83;36,96;59,59;36,35;61,98;36,71;-
20.06.2019;18:00;39,62;39,62;39,62;39,62;-;39,62;-;30,55;39,76;56,1;42,4;58,84;39,62;-
20.06.2019;19:00;44,82;44,82;44,82;40,48;-;44,82;-;43,75;39,74;54,01;47;60,09;44,15;-
20.06.2019;20:00;51,96;51,96;51,96;38,57;-;51,96;-;44,72;38,39;61;49,64;60,51;50,15;-
20.06.2019;21:00;50;50;50;34,05;-;50;-;28,46;38,87;58;47,29;59,45;47,53;-
20.06.2019;22:00;46,63;46,63;46,63;44,71;-;46,52;-;25,38;41,07;49,71;44,25;51,01;46,33;-
20.06.2019;23:00;39,28;39,28;39,28;39,28;-;39,28;-;16,95;38,44;39,28;38,51;43,12;39,28;-
21.06.2019;00:00;34,3;34,3;34,3;34,3;-;34,3;-;24,89;34,42;35,88;33,7;41,04;34,3;-
21.06.2019;01:00;32,17;32,17;32,17;30,47;-;32,03;-;23,22;32,41;32,17;32,44;33,71;32,17;-
21.06.2019;02:00;31,92;31,92;31,92;27,21;-;31,52;-;20,41;31,52;31,67;31,97;31,97;31,67;-
21.06.2019;03:00;33;33;33;19,76;-;31,81;-;18,76;31,32;30,8;31,46;31,46;30,8;-
21.06.2019;04:00;33,42;33,42;33,42;17,91;-;32,04;-;14,06;31,35;33,42;30,9;30,9;33,42;-
21.06.2019;05:00;34,02;34,02;34,02;24,39;-;33,19;-;24,13;32,58;34,02;32,46;32,46;34,02;-
21.06.2019;06:00;40,72;40,72;40,72;26,61;-;39,51;-;27,45;38,97;41,5;38,34;40,06;40,72;-
21.06.2019;07:00;46,42;46,42;46,42;31,98;-;45,38;-;28,24;42,81;49,35;49;53,69;44,1;-
21.06.2019;08:00;47,09;47,09;47,09;47,09;-;47,09;-;45,96;46,01;55,86;51,9;59,68;47,09;-
21.06.2019;09:00;44,41;44,41;44,41;44,41;-;44,41;-;43,34;44,14;55,2;45,02;59,58;44,41;-
21.06.2019;10:00;43,93;43,93;43,93;43,93;-;43,93;-;42,88;41,09;55,15;40,44;58,06;43,93;-
21.06.2019;11:00;41,04;41,04;41,04;41,04;-;41,04;-;40,06;39,44;54,53;38,21;59,5;41,04;-
21.06.2019;12:00;36,21;36,21;36,21;36,21;-;36,21;-;35,34;37,8;49,48;36,1;61,05;36,21;-
21.06.2019;13:00;33,53;33,53;33,53;33,53;-;33,53;-;32,73;36,17;49,06;33,97;58,97;33,53;-
21.06.2019;14:00;32,41;32,41;32,41;32,41;-;32,41;-;28,53;34,95;52,86;33,01;58,99;32,41;-
21.06.2019;15:00;32,26;31,02;31,02;32,26;-;32,26;-;27,77;34,57;54,53;33,13;60,37;32,26;-
21.06.2019;16:00;32,22;30,61;30,61;32,22;-;32,22;-;28,39;34,54;54,86;33,73;61,09;32,22;-
21.06.2019;17:00;34,98;30,42;30,42;34,98;-;34,98;-;28,41;38,43;54,53;38;62,14;34,98;-
21.06.2019;18:00;40,79;40,79;40,79;40,79;-;40,79;-;28,54;42,31;49,92;42;58,5;40,79;-
21.06.2019;19:00;44,54;44,54;44,54;42,36;-;44,5;-;28,08;42,36;44,58;47;59,1;44,18;-
21.06.2019;20:00;47,84;42,04;42,04;35,48;-;47,84;-;25,01;41,25;45,96;50,02;60,79;45,96;-
21.06.2019;21:00;49,91;42,23;42,23;29,57;-;49,91;-;25,65;41,67;46,63;48,2;59,05;46,63;-
21.06.2019;22:00;44,41;31,3;31,3;37,46;-;44,26;-;24,7;41,17;43,26;44,12;52,11;43,26;-
21.06.2019;23:00;36,95;30,97;30,97;36,95;-;36,95;-;21,02;38,18;39,59;38,2;44,09;36,95;-
22.06.2019;00:00;35,58;33,63;33,63;28,65;-;35,58;-;25,02;33,29;45,08;34,7;38,34;35,58;-
22.06.2019;01:00;31,91;30,82;30,82;20,37;-;31,84;-;21,14;31,94;33,1;33,4;33,4;31,91;-
