Datum;Uhrzeit;Gesamt[MWh]
06.06.2019;03:00;11.581,25
06.06.2019;03:15;11.588
06.06.2019;03:30;11.560,25
06.06.2019;03:45;11.516,5
06.06.2019;04:00;11.561
06.06.2019;04:15;11.557,25
06.06.2019;04:30;11.611,5
06.06.2019;04:45;11.721
06.06.2019;05:00;12.096
06.06.2019;05:15;12.316
06.06.2019;05:30;12.482,5
06.06.2019;05:45;12.696,75
06.06.2019;06:00;13.431
06.06.2019;06:15;13.933,25
06.06.2019;06:30;14.265,75
06.06.2019;06:45;14.607,25
06.06.2019;07:00;14.975,25
06.06.2019;07:15;15.276,75
06.06.2019;07:30;15.617,25
06.06.2019;07:45;15.941,5
06.06.2019;08:00;16.129,5
06.06.2019;08:15;16.204,75
06.06.2019;08:30;16.310,25
06.06.2019;08:45;16.420
06.06.2019;09:00;16.342,75
06.06.2019;09:15;16.372
06.06.2019;09:30;16.509
06.06.2019;09:45;16.640,25
06.06.2019;10:00;16.717,5
06.06.2019;10:15;16.759
06.06.2019;10:30;16.915
06.06.2019;10:45;17.044,25
06.06.2019;11:00;17.116
06.06.2019;11:15;17.200,75
06.06.2019;11:30;17.262,75
06.06.2019;11:45;17.372,25
06.06.2019;12:00;17.281,25
06.06.2019;12:15;17.238,25
06.06.2019;12:30;17.175,5
06.06.2019;12:45;17.130,25
06.06.2019;13:00;17.173,75
06.06.2019;13:15;17.086,25
06.06.2019;13:30;16.962,25
06.06.2019;13:45;16.701,75
06.06.2019;14:00;16.574
06.06.2019;14:15;16.638,25
06.06.2019;14:30;16.574,75
06.06.2019;14:45;16.520,75
06.06.2019;15:00;16.433,75
06.06.2019;15:15;16.353,5
06.06.2019;15:30;16.210,25
06.06.2019;15:45;15.977
06.06.2019;16:00;16.002,5
06.06.2019;16:15;15.875,5
06.06.2019;16:30;15.791,25
06.06.2019;16:45;15.723
06.06.2019;17:00;15.679
06.06.2019;17:15;15.573
06.06.2019;17:30;15.625,5
06.06.2019;17:45;15.533,5
06.06.2019;18:00;15.243,75
06.06.2019;18:15;15.065,5
06.06.2019;18:30;15.095,25
06.06.2019;18:45;15.026,5
06.06.2019;19:00;14.940,25
06.06.2019;19:15;14.734,25
06.06.2019;19:30;14.610
06.06.2019;19:45;14.581,25
06.06.2019;20:00;14.410
06.06.2019;20:15;14.295
06.06.2019;20:30;14.011
06.06.2019;20:45;13.831,75
06.06.2019;21:00;13.620,25
06.06.2019;21:15;13.482
06.06.2019;21:30;13.315
06.06.2019;21:45;13.251,5
06.06.2019;22:00;13.217,75
06.06.2019;22:15;13.019,25
06.06.2019;22:30;12.827,5
06.06.2019;22:45;12.663,75
06.06.2019;23:00;12.313
06.06.2019;23:15;12.105,75
06.06.2019;23:30;11.904,5
06.06.2019;23:45;11.747,75
07.06.2019;00:00;11.537,75
07.06.2019;00:15;11.355
07.06.2019;00:30;11.248
07.06.2019;00:45;11.162,25
07.06.2019;01:00;10.999,25
07.06.2019;01:15;10.919,75
07.06.2019;01:30;10.795,75
07.06.2019;01:45;10.766
07.06.2019;02:00;10.604,75
07.06.2019;02:15;10.573,25
07.06.2019;02:30;10.542,75
07.06.2019;02:45;10.622,25
07.06.2019;03:00;10.682,25
07.06.2019;03:15;10.733,25
07.06.2019;03:30;10.704,25
07.06.2019;03:45;10.674,25
07.06.2019;04:00;10.773
07.06.2019;04:15;10.885,75
07.06.2019;04:30;10.955,75
07.06.2019;04:45;11.027,5
07.06.2019;05:00;11.240
07.06.2019;05:15;11.459,75
07.06.2019;05:30;11.714,75
07.06.2019;05:45;12.044,5
07.06.2019;06:00;12.584,25
07.06.2019;06:15;12.999,75
07.06.2019;06:30;13.373,75
07.06.2019;06:45;13.726,5
07.06.2019;07:00;14.034,5
07.06.2019;07:15;14.310,25
07.06.2019;07:30;14.570,5
07.06.2019;07:45;14.844,5
07.06.2019;08:00;15.120,75
07.06.2019;08:15;15.201,75
07.06.2019;08:30;15.280,5
07.06.2019;08:45;15.376,5
07.06.2019;09:00;15.329,5
07.06.2019;09:15;15.460,5
07.06.2019;09:30;15.667,25
07.06.2019;09:45;15.792
07.06.2019;10:00;15.827,25
07.06.2019;10:15;15.902,5
07.06.2019;10:30;16.047,75
07.06.2019;10:45;16.208,5
07.06.2019;11:00;16.185,75
07.06.2019;11:15;16.313
07.06.2019;11:30;16.462,75
07.06.2019;11:45;16.390,5
07.06.2019;12:00;16.310
07.06.2019;12:15;16.349,5
07.06.2019;12:30;16.374,75
07.06.2019;12:45;16.334,25
07.06.2019;13:00;16.126
07.06.2019;13:15;16.101,5
07.06.2019;13:30;16.050
07.06.2019;13:45;15.951,75
07.06.2019;14:00;15.776,25
07.06.2019;14:15;15.645,75
07.06.2019;14:30;15.541
07.06.2019;14:45;15.490,25
07.06.2019;15:00;15.542
07.06.2019;15:15;15.501,5
07.06.2019;15:30;15.437
07.06.2019;15:45;15.343,25
07.06.2019;16:00;15.339,5
07.06.2019;16:15;15.301
07.06.2019;16:30;15.255,25
07.06.2019;16:45;15.245,5
07.06.2019;17:00;15.257,75
07.06.2019;17:15;15.236,75
07.06.2019;17:30;15.082
07.06.2019;17:45;15.010,75
07.06.2019;18:00;14.802,75
07.06.2019;18:15;14.734,75
07.06.2019;18:30;14.625,75
07.06.2019;18:45;14.540,75
07.06.2019;19:00;14.477,5
07.06.2019;19:15;14.296,75
07.06.2019;19:30;14.357,25
07.06.2019;19:45;14.348
07.06.2019;20:00;14.179,25
07.06.2019;20:15;13.997,75
07.06.2019;20:30;13.955,25
07.06.2019;20:45;13.785,75
07.06.2019;21:00;13.570
07.06.2019;21:15;13.253,5
07.06.2019;21:30;13.212
07.06.2019;21:45;13.271
07.06.2019;22:00;13.244,5
07.06.2019;22:15;13.065,5
07.06.2019;22:30;12.751,75
07.06.2019;22:45;12.501,75
07.06.2019;23:00;12.299
07.06.2019;23:15;12.271,25
07.06.2019;23:30;12.216,75
07.06.2019;23:45;12.003
08.06.2019;00:00;11.779
08.06.2019;00:15;11.448
08.06.2019;00:30;11.345,25
08.06.2019;00:45;11.347,5
08.06.2019;01:00;11.250,5
08.06.2019;01:15;11.122,75
08.06.2019;01:30;11.074,75
08.06.2019;01:45;10.996,75
08.06.2019;02:00;10.894,25
08.06.2019;02:15;10.794
08.06.2019;02:30;10.822,25
08.06.2019;02:45;10.720
08.06.2019;03:00;10.535,25
08.06.2019;03:15;10.479,25
08.06.2019;03:30;10.529,25
08.06.2019;03:45;10.549,5
08.06.2019;04:00;10.637,25
08.06.2019;04:15;10.518
08.06.2019;04:30;10.577,75
08.06.2019;04:45;10.498,75
08.06.2019;05:00;10.397
08.06.2019;05:15;10.444,75
08.06.2019;05:30;10.496,5
08.06.2019;05:45;10.654,25
08.06.2019;06:00;10.908,25
08.06.2019;06:15;11.129,5
08.06.2019;06:30;11.335,5
08.06.2019;06:45;11.492,5
08.06.2019;07:00;11.645,75
08.06.2019;07:15;11.769,25
08.06.2019;07:30;12.047,25
08.06.2019;07:45;12.096,5
08.06.2019;08:00;12.338,5
08.06.2019;08:15;12.605,75
08.06.2019;08:30;12.799,75
08.06.2019;08:45;12.998,5
08.06.2019;09:00;13.215,5
08.06.2019;09:15;13.420,75
08.06.2019;09:30;13.503
08.06.2019;09:45;13.682,75
08.06.2019;10:00;13.590,25
08.06.2019;10:15;13.811,5
08.06.2019;10:30;14.037,75
08.06.2019;10:45;14.153,5
08.06.2019;11:00;14.434,25
08.06.2019;11:15;14.508,5
08.06.2019;11:30;14.513
08.06.2019;11:45;14.534,25
08.06.2019;12:00;14.353,75
08.06.2019;12:15;13.995,75
08.06.2019;12:30;14.098,25
08.06.2019;12:45;13.665,5
08.06.2019;13:00;13.501,25
08.06.2019;13:15;13.517
08.06.2019;13:30;13.465,75
08.06.2019;13:45;13.327,5
08.06.2019;14:00;12.969,75
08.06.2019;14:15;12.786,25
08.06.2019;14:30;12.624,5
08.06.2019;14:45;12.560,25
08.06.2019;15:00;12.441,5
08.06.2019;15:15;12.412,75
08.06.2019;15:30;12.394,25
08.06.2019;15:45;12.347,75
08.06.2019;16:00;12.355,25
08.06.2019;16:15;12.338,5
08.06.2019;16:30;12.321
08.06.2019;16:45;12.343
08.06.2019;17:00;12.667,75
08.06.2019;17:15;12.694,25
08.06.2019;17:30;12.658,5
08.06.2019;17:45;12.693
08.06.2019;18:00;12.854,25
08.06.2019;18:15;12.669,5
08.06.2019;18:30;12.499,75
08.06.2019;18:45;12.450,5
08.06.2019;19:00;12.502
08.06.2019;19:15;12.487,75
08.06.2019;19:30;12.363,75
08.06.2019;19:45;12.177,75
08.06.2019;20:00;12.126
08.06.2019;20:15;11.982,5
08.06.2019;20:30;11.777,75
08.06.2019;20:45;11.584,25
08.06.2019;21:00;11.424,75
08.06.2019;21:15;11.273,75
08.06.2019;21:30;11.291,25
08.06.2019;21:45;11.300,25
08.06.2019;22:00;11.344,75
08.06.2019;22:15;11.208,25
08.06.2019;22:30;11.042,5
08.06.2019;22:45;10.877,25
08.06.2019;23:00;10.646,25
08.06.2019;23:15;10.486,75
08.06.2019;23:30;10.363,75
08.06.2019;23:45;10.194,75
09.06.2019;00:00;10.032,75
09.06.2019;00:15;9.875,25
09.06.2019;00:30;9.737,25
09.06.2019;00:45;9.586,5
09.06.2019;01:00;9.435,25
09.06.2019;01:15;9.374,25
09.06.2019;01:30;9.324,25
09.06.2019;01:45;9.298
09.06.2019;02:00;9.173
09.06.2019;02:15;9.198,5
09.06.2019;02:30;9.118,25
