Date;PVPP [MW]
18.08.2017;433,7
19.08.2017;164,1
20.08.2017;343,4
21.08.2017;388,5
22.08.2017;342,4
23.08.2017;492,6
24.08.2017;406,4
25.08.2017;409,1
26.08.2017;395,7
27.08.2017;354
28.08.2017;433,9
29.08.2017;499,8
30.08.2017;493,5
31.08.2017;356,3
01.09.2017;94,3
02.09.2017;186,6
03.09.2017;190,5
04.09.2017;394,7
05.09.2017;419
06.09.2017;214,2
07.09.2017;248,3
08.09.2017;379,9
09.09.2017;336,3
10.09.2017;160,6
11.09.2017;170,5
12.09.2017;179,5
13.09.2017;221,6
14.09.2017;233
15.09.2017;237,7
16.09.2017;66,9
17.09.2017;131,5
18.09.2017;293,4
19.09.2017;178,9
20.09.2017;159,2
21.09.2017;146,7
22.09.2017;171,4
23.09.2017;162
24.09.2017;89,5
25.09.2017;141,5
26.09.2017;169,1
27.09.2017;294,7
28.09.2017;307
29.09.2017;366,3
30.09.2017;399,4
01.10.2017;309,4
02.10.2017;331,3
03.10.2017;65,7
04.10.2017;231,1
05.10.2017;107
06.10.2017;182,5
07.10.2017;197,7
08.10.2017;109,3
09.10.2017;262,8
10.10.2017;80,1
11.10.2017;131,4
12.10.2017;198,9
13.10.2017;251,7
14.10.2017;279
15.10.2017;357,2
16.10.2017;342,5
17.10.2017;301,6
18.10.2017;146,6
19.10.2017;187,2
20.10.2017;145,3
21.10.2017;96,3
22.10.2017;91,6
23.10.2017;54,9
24.10.2017;123,2
25.10.2017;102
26.10.2017;155,5
27.10.2017;79,4
28.10.2017;48,6
29.10.2017;116,2
30.10.2017;196,4
31.10.2017;92,9
01.11.2017;72,1
02.11.2017;151
03.11.2017;137,8
04.11.2017;173,8
05.11.2017;67,6
06.11.2017;61,2
07.11.2017;121,7
08.11.2017;19,9
09.11.2017;30
10.11.2017;26,4
11.11.2017;150,6
12.11.2017;90,7
13.11.2017;53,8
14.11.2017;123,2
15.11.2017;167,3
16.11.2017;96,9
17.11.2017;26,9
18.11.2017;70,7
19.11.2017;77,5
20.11.2017;59,4
21.11.2017;20,4
22.11.2017;136,8
23.11.2017;119,2
24.11.2017;87,1
25.11.2017;23,7
26.11.2017;78,5
27.11.2017;108,3
28.11.2017;50,3
29.11.2017;25,9
30.11.2017;18,2
01.12.2017;83,5
02.12.2017;87,6
03.12.2017;47,8
04.12.2017;25,4
05.12.2017;24,3
06.12.2017;22,9
07.12.2017;167,6
08.12.2017;31,5
09.12.2017;67,4
10.12.2017;125,2
11.12.2017;35
12.12.2017;25,9
13.12.2017;162,9
14.12.2017;75,5
15.12.2017;66
16.12.2017;38,9
17.12.2017;58,7
18.12.2017;47,4
19.12.2017;36
20.12.2017;16,4
21.12.2017;11,3
22.12.2017;35,8
23.12.2017;36,4
24.12.2017;39,6
25.12.2017;84,8
26.12.2017;57
27.12.2017;54,4
28.12.2017;17,2
29.12.2017;60,4
